"score","text","sentiment"
-2,"b'@Paytmcare Hahaha you are hilarious @Paytm \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3. It took you 2 days to acknowledge that my concern is important. You really crack me up \xf0\x9f\xa4\xa3'","negative"
-1,"b'@Paytm @PaytmTickets @Paytmcare worst movie booking experience in your site. Not asking for mobile number to delive\xe2\x80\xa6 https://t.co/NwPXAnZvHv'","negative"
0,"b'@vijayshekhar my @Paytm cashback complaint is unresolved since 17th Feb 2018 despite my repeated followups.\xe2\x80\xa6 https://t.co/Q3zwwnRBd1'","neutral"
1,"b'@Paytm @Paytmcare \nRespected Sir/Madam,\nI want to start your renowned Paytm Payments Bank Branch/franchise/ATM in\nm\xe2\x80\xa6 https://t.co/orBbzeLf4P'","positive"
-1,"b'@Paytm \nYesterday I just made the payment to irtc my transaction is being failed ND my balance is deducted in paytm wallet \nPlease help'","negative"
1,"b'@Paytmcare Day 6 @vijayshekhar @Paytmcare @Paytm WILL I GET MY REFUND??'","positive"
0,"b'@FreeChargeCares I am not happy with your revert. A pop-up appears on my screen for upi registration &amp; cashback off\xe2\x80\xa6 https://t.co/qTdK6OohbF'","neutral"
-1,"b""@gvsjio1 @Paytmcare @PaytmBank @Paytm Don't update new version as Paytm new update version is bug""","negative"
1,"b'@ImSaikatPyne @Paytm @livegoafest @value_360 Cheers to us :)'","positive"
0,"b'#thankyoupaytm @PaytmBank @vijayshekhar @Paytm https://t.co/96qcwaPLM4'","neutral"
2,"b'.@Paytm wins two #Abbys2018 at  @livegoafest. Cheers @Soniadhawn and @value_360 team! https://t.co/NVmIhBIRsi'","positive"
0,"b'@ShobhitaAgarwal @Paytmcare @Paytm Paytm mat karo.'","neutral"
0,"b'@hnarayan20 @Paytm @Paytmcare @PaytmBank Even I was charged around 50 bucks for same.'","neutral"
0,"b'@Paytm My mobile no. is linked to Adhaar and same no. I am using for Paytm then why do I need to personally go to K\xe2\x80\xa6 https://t.co/w1Dhi6RE19'","neutral"
1,"b'Bought @MumbaiMetro3 ticket via @Paytm No need to stand in long que for tokens! Just scan the code and done! Perfect !!! \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'","positive"
0,"b'@BCCIWomen @Paytm on which channel match telecast?'","neutral"
0,"b'Issue raised with paytm w.r.t delinking of kyc pending since 18th march 2018 reference no 56582762 @Paytm @Paytmcare @vijayshekhar'","neutral"
0,"b'@ShobhitaAgarwal @Paytmcare @Paytm Paytm Mat Karo.\nUse BHIM App. Initiative by govt.@NPCI_BHIM \n#PaytmFraudCompany'","neutral"
-1,"b'@hnarayan20 @Paytm @Paytmcare @PaytmBank Paytm are cheaters when once online kyc is done why then there is a need of franchise??'","negative"
1,"b'@paytmbankcare @Paytm @Paytmcare @PaytmBank @UfterYou @thebharatseva@renusatti I am asking about the cashback for m\xe2\x80\xa6 https://t.co/9o0VVErXFG'","positive"
0,"b'@vijayshekhar ,@Paytmcare @Paytm @rsprasad \nkB solve Hoga?????????? https://t.co/V4zfY8F2nF'","neutral"
1,"b'@vineetkaul @vijayshekhar @Paytm Ho gaya thanks'","positive"
0,"b'@Paytm  Hi.... I was playing on gamepind since yesterday its giving prb , money gets deducted but its not going for contest.'","neutral"
-1,"b'@Paytm What the hell you people charge rs20 for KYC. If you want then ask some more why just 20.\nFor the first time I am paying for Kyc.'","negative"
0,"b'@PaytmBank @Paytm @Paytmcare @PaytmBank @PaytmMall https://t.co/bSJnozD0F2'","neutral"
1,"b""@hnarayan20 @Paytm @Paytmcare @PaytmBank It's free""","positive"
0,"b'Thanku @Paytm @vijayshekhar \nFor this \xf0\x9f\x91\x87\xf0\x9f\x91\x87 totally new layout..\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x98\x98 https://t.co/oXnKZjocAD'","neutral"
0,"b'@thebharatseva @paytmbankcare @Paytm @PaytmBank @Paytmcare @vijayshekhar @One97 @renusatti @PMOIndia\xe2\x80\xa6 https://t.co/qOh4TgTNPL'","neutral"
0,"b'What\xe2\x80\x99s happening? @paytm @vijayshekhar \xf0\x9f\xa4\x99 https://t.co/Mj4OTq64Uo'","neutral"
1,"b'@Paytmcare Thanks for your reply @Paytm , however a reply from @Cashify_  would be more appreciated https://t.co/bClszNCvwi'","positive"
1,"b'@Paytm @Paytmcare @PaytmBank have not received cash back or any details regarding it after completing KYC since las\xe2\x80\xa6 https://t.co/P1HJZootCV'","positive"
1,"b""@Paytm @Paytmcare @vijayshekhar Don't want to give you any KYC document. Want just refund of my money which you hav\xe2\x80\xa6 https://t.co/RCQkaap1WK""","positive"
0,"b'@vatsann @prayatna_fac @savesmilees @hareesh_9999 @Deepikaa123 @kishorev1988 @pratyusha @Urs_BRK @Abhishekboss2\xe2\x80\xa6 https://t.co/ZSwlYDTEw9'","neutral"
0,"b'@Its_meRJ @prayatna_fac @savesmilees @hareesh_9999 @Deepikaa123 @kishorev1988 @pratyusha @Urs_BRK @Abhishekboss2\xe2\x80\xa6 https://t.co/dDjGCqCeJI'","neutral"
0,"b'@BCCIWomen @Paytm Dear ladies... bahuth bahuth badayiyo...Kya khel dikaye aap ne... hamare dil kush kardiya...All t\xe2\x80\xa6 https://t.co/XjyiAWXMFF'","neutral"
-1,"b""@Paytmcare @Paytm @RBI money in Paytm lost repeated reporting still Paytm not responded it's giving feeling Paytm a\xe2\x80\xa6 https://t.co/PTlklsEyV5""","negative"
-1,"b'@Paytm after the update ...the software hangs ... money trfr not working....tried reinstallation 3 times'","negative"
0,"b'@Paytm @Paytmcare @PaytmBank @paytmbankcare @timesofindia @TimesNow @ndtv @htTweets @the_hindu @indiatoday\xe2\x80\xa6 https://t.co/fFWQc3aDAP'","neutral"
0,"b'@Paytmcare @Paytm ???? @vijayshekhar'","neutral"
0,"b'@BCCI @Paytm Common  india'","neutral"
0,"b'@_DigitalIndia @Paytm @UIDAI https://t.co/0KKp422wx2'","neutral"
0,"b'@Mirchi9 @Paytm 357k'","neutral"
-2,"b'Online fraud @Paytm. Orderd @CasioIndia watch, recvd empty box. @Paytmcare closd complaint saying delivrd corrct product only. #SayNo2Paytm'","negative"
1,"b'@chopraanjum @Paytm @BCCIWomen What a win over England'","positive"
0,"b'@reliancejio @Paytm @AJIOLife @RelianceDigital I bought @Rs.2000 and enjoying network problem due to tower-less in Tuensang District.'","neutral"
0,"b""@shantanub @Paytm I did the same. Why should we ? Now everyone accepting cards. Don't use risky apps""","neutral"
0,"b'Win $15 Or Rs.1000 @Paytm Cash \xf0\x9f\x91\x8d https://t.co/tBzVC8jlqc'","neutral"
-1,"b'Bad interface of Paytm payments screen on UTS app. Also OTP takes lot of time to come. Please resolve this.\xe2\x80\xa6 https://t.co/hj7EQJmuHH'","negative"
0,"b'@Paytm no response in twitter , no response in paytm issue page ? Do you even care about what issues customers are\xe2\x80\xa6 https://t.co/tWdZFBj81h'","neutral"
0,"b'@dominos @Paytm it\xe2\x80\x99s been over 6 months but I have not recoeved any response from both of you..\nI need my money back..'","neutral"
-1,"b'@Paytm @PaytmTickets @Paytmcare \nU have shared wrong details with my friend about the show timings. How irresponsib\xe2\x80\xa6 https://t.co/rOAYDrVBBS'","negative"
1,"b'@dheerajmishra08 @Paytmcare @Paytm @MobiKwik @NPCI_BHIM Its not about money. Its about the TRUST which paytm could not develop it.'","positive"
0,"b'@Paytmcare Even after e-KYC why an in-person verification is needed? Is that mandated by RBI or the Govt. of India\xe2\x80\xa6 https://t.co/vt7TPrWdAG'","neutral"
-1,"b'@Paytmcare @vijayshekhar @Paytm @PaytmMall \n\nPlease respond to my problem as early as possible...'","negative"
-1,"b'@PaytmBank @Paytm You provided worst servises why are are you not providing transfer option from paytm wallet'","negative"
1,"b""@vijayshekhar @PaytmMall @amitsins @Paytm Wow! That's some news. You're my one big inspiration @vijayshekhar""","positive"
0,"b'Paytm is providing worst customer support service even their service executives are not available ti take calls @Paytm @Paytmcare'","neutral"
-1,"b'Amount is deducted from bank account but the order is showing as failed\n@Paytmcare @Paytm Please take a note on thi\xe2\x80\xa6 https://t.co/XH69ZMZRhx'","negative"
-1,"b'@vijayshekhar Sir are you aware that Paytm is keeping fraud sellers and creating mental frustration for customers.@Paytmcare @Paytm'","negative"
1,"b'@BCCIWomen @BCCI_Women @Paytm Well done girls'","positive"
1,"b'@paytmmallcare Thank you for handling the feedback well, you never disappoint me with your repeated nonsense @Paytm\xe2\x80\xa6 https://t.co/fBUlXyXvuO'","positive"
0,"b'@PaytmMall @Paytm Done....'","neutral"
0,"b'@chopraanjum @Paytm @BCCIWomen Yes we did it..'","neutral"
1,"b'@Soniadhawn @Paytm Congratulation team we are champion'","positive"
0,"b'@Paytm Seriously how much time u people are going to take ....just to check a barcode of fastag ... that too when a\xe2\x80\xa6 https://t.co/wo1mCmA0Dh'","neutral"
0,"b'@Paytmcare @Paytm Is there any way to delete/shut down the wallet &amp; profile and delink it from the existing phone: and mail id ??'","neutral"
-1,"b'@Paytm @Paytmcare @PaytmMall @paytmmallcare @vijayshekhar \nsolve my problem ref no. \n59155134\n59158599\n59162126\n591\xe2\x80\xa6 https://t.co/rZf1v6IbxR'","negative"
0,"b'@Paytm @Paytmcare error report unable to accept payment..suggest, contact 9494757603 in this regards https://t.co/y3kAWLGcXu'","neutral"
-1,"b""@Paytmcare @skupadhyay_ Oh please! It's an open secret that EVERY vendor of yours charges for KYC. @Paytm doesn't k\xe2\x80\xa6 https://t.co/aKCJ5GSWFS""","negative"
-2,"b'@Paytm @Paytmcare I raised online fraud complaint on paytm as well.\n Query Ref no 59709949.\nPlease look into it I a\xe2\x80\xa6 https://t.co/6YPk48B2Tn'","negative"
